index,origin,desc,pv
Q06306,Q06306,"Algum médico já lhe deu o diagnóstico de uma doença do coração, tal como infarto, angina, insuficiência cardíaca ou outra?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q06307,Q06307,Infarto,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q06308,Q06308,Angina,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q06309,Q06309,Insuficiência cardíaca,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q06310,Q06310,Arritmia,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q06311,Q06311,Outra,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q064,Q064,Que idade o(a) Sr(a) tinha no primeiro diagnóstico da doença do coração?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
Q068,Q068,Algum médico já lhe deu o diagnóstico de AVC (Acidente Vascular Cerebral) ou derrame?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q070,Q070,Que idade o(a) Sr(a) tinha no primeiro diagnóstico do derrame (ou AVC)?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
Q074,Q074,Algum médico já lhe deu o diagnóstico de asma (ou bronquite asmática)?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q075,Q075,Que idade o(a) Sr(a) tinha no primeiro diagnóstico de asma?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
Q076,Q076,"Nos últimos doze meses, o(a) Sr(a) teve alguma crise de asma?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q079,Q079,Algum médico já lhe deu o diagnóstico de artrite ou reumatismo?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q080,Q080,Que idade o(a) Sr(a) tinha no primeiro diagnóstico de artrite ou reumatismo?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
Q092,Q092,Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de depressão?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q09201,Q09201,Algum médico já lhe receitou algum medicamento para depressão?,"{1: 'Sim', 2: 'Não', 3: 'Não sabe/não respondeu'}"
Q09202,Q09202,Nas duas últimas semanas o(a) senhor(a) usou algum medicamento para depressão?,"{1: 'Sim, todos', 2: 'Sim, alguns', 3: 'Não, nenhum', 4: 'Não sabe/não respondeu'}"
Q09301,Q09301,Que idade o(a) Sr(a) tinha no primeiro diagnóstico de depressão?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
Q094,Q094,O(A) Sr(a) vai ao médico/serviço de saúde regularmente por causa da depressão ou só quando tem algum problema?,"{1: 'Sim', 2: 'Não, só quando tem algum problema', 3: 'Nunca vai', 9: 'Ignorado'}"
Q09502,Q09502,Qual o principal motivo do(a) Sr(a) não visitar o médico/serviço de saúde regularmente por causa da depressão?,"{1: 'Não está mais deprimido', 2: 'O serviço de saúde é distante ou tem dificuldade de transporte', 3: 'Não tem ânimo', 4: 'O tempo de espera no serviço de saúde é muito grande', 5: 'Tem dificuldades financeiras', 6: 'O horário de funcionamento do serviço de saúde é incompatível com suas atividades de trabalho ou domésticas', 7: 'Não conseguiu marcar consulta pelo plano de saúde', 8: 'Não sabe quem procurar ou aonde ir', 9: 'Outro', 99: 'Ignorado'}"
Q09605,Q09605,Por causa da depressão Faz psicoterapia,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q09606,Q09606,Por causa da depressão Toma medicamentos,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q09607,Q09607,"Por causa da depressão Faz uso de acupuntura, plantas medicinais e fitoterapia, homeopatia, meditação, yoga, tai chi chuan, liang gong ou alguma outra prática integrativa e complementar","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q098,Q098,Algum dos medicamentos para depressão foi obtido em serviço público de saúde?,"{1: 'Sim, todos', 2: 'Sim, alguns', 3: 'Não, nenhum', 9: 'Ignorado'}"
Q100,Q100,O(A) Sr(a) pagou algum valor pelos medicamentos?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q10101,Q10101,Quando foi a última vez que o(a) Sr(a) recebeu atendimento médico por causa da depressão?,"{1: 'Menos de 6 meses', 2: 'De 6 meses a menos de 1 ano', 3: 'De 1 ano a menos de  2 anos', 4: 'De 2 anos a menos de 3 anos', 5: '3 anos ou mais', 6: 'Nunca fez', 9: 'Ignorado'}"
Q10202,Q10202,"Na última vez que recebeu assistência médica para depressão, onde o(a) Sr(a) foi atendido?","{1: 'Farmácia', 2: 'Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família)', 3: 'Policlínica pública, PAM (Posto de Assistência Médica) ou Centro de Especialidades público', 4: 'UPA (Unidade de Pronto Atendimento), outro tipo de pronto atendimento público (24 horas), pronto-socorro ou emergência de hospital público', 5: 'Ambulatório de hospital público', 6: 'Consultório particular, clínica privada ou ambulatório de hospital privado', 7: 'Pronto atendimento ou emergência de hospital privado', 8: 'No domicílio', 9: 'Outro serviço', 99: 'Ignorado'}"
Q104,Q104,O(A) Sr(a) pagou algum valor por esse atendimento?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q105,Q105,Esse atendimento foi feito pelo SUS?,"{1: 'Sim', 2: 'Não', 3: 'Não sabe/Não lembra'}"
Q106,Q106,"Em algum dos atendimentos para depressão, houve encaminhamento para algum acompanhamento com profissional de saúde mental, como psiquiatra ou psicólogo?","{1: 'Sim', 2: 'Não', 3: 'Não houve encaminhamento, pois todas as consultas para depressão foram com profissional de saúde mental', 9: 'Ignorado'}"
Q10701,Q10701,O(A) Sr(a) conseguiu ir às consultas com profissional especialista de saúde mental?,"{1: 'Sim, todas', 2: 'Sim, algumas', 3: 'Não, nenhuma', 9: 'Ignorado'}"
Q109,Q109,"Em geral, em que grau a depressão limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos, etc.)?","{1: 'Não limita', 2: 'Um pouco', 3: 'Moderadamente', 4: 'Intensamente', 5: 'Muito intensamente', 9: 'Ignorado'}"
Q11006,Q11006,"Algum médico ou profissional de saúde (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como transtorno de ansiedade, síndrome do pânico, esquizofrenia, transtorno bipolar, psicose ou TOC (Transtorno Obsessivo Compulsivo) etc?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q11007,Q11007,Diagnóstico de Esquizofrenia,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q11008,Q11008,Diagnóstico de Transtorno bipolar,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q11009,Q11009,Diagnóstico de TOC (Transtorno obsessivo compulsivo),"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q11010,Q11010,Outro diagnóstico,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q111,Q111,Que idade o(a) Sr(a) tinha no primeiro diagnóstico de doença mental?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
Q11201,Q11201,O(A) Sr(a) visita o médico/serviço de saúde regularmente por causa dessa doença mental ou só quando tem algum problema?,"{1: 'Sim', 2: 'Não', 3: 'Não, só quando tenho algum problema', 9: 'Ignorado'}"
Q11405,Q11405,Por causa da doença mental faz psicoterapia,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q11406,Q11406,Por causa da doença mental usa medicamentos ou injeções,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q11407,Q11407,"Por causa da doença mental Faz uso de acupuntura, plantas medicinais e fitoterapia, homeopatia, meditação, yoga, tai chi chuan ou alguma outra prática integrativa e complementar","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q11408,Q11408,Por causa da doença mental Faz acompanhamento regular com profissional de saúde,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q115,Q115,"Em geral, em que grau essa doença mental limita as suas atividades habituais (tais como trabalhar, realizar afazeres domésticos etc.)?","{1: 'Não limita', 2: 'Um pouco', 3: 'Moderadamente', 4: 'Intensamente', 5: 'Muito intensamente', 9: 'Ignorado'}"
Q11604,Q11604,"Algum médico já lhe deu o diagnóstico de alguma outra doença crônica no pulmão, tais como enfisema pulmonar, bronquite crônica ou DPOC (Doença Pulmonar Obstrutiva Crônica)?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q11605,Q11605,Diagnóstico de enfisema pulmonar,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q11606,Q11606,Diagnóstico de bronquite crônica,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q120,Q120,Algum médico já lhe deu diagnóstico de câncer?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q12102,Q12102,Foi um diagnóstico de câncer de pele?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q12103,Q12103,O câncer de pele diagnosticado foi do tipo melanoma?,"{1: 'Sim', 2: 'Não', 3: 'Não sei', 9: 'Ignorado'}"
Q12104,Q12104,Diagnóstico de outro câncer? Pulmão,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q12105,Q12105,Diagnóstico de outro câncer? Cólon e reto (intestino),"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q12106,Q12106,Diagnóstico de outro câncer? Estômago,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q12107,Q12107,Diagnóstico de outro câncer? Mama (só para mulheres),"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q12108,Q12108,Diagnóstico de outro câncer? Colo de útero (só para mulheres),"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q12109,Q12109,Diagnóstico de outro câncer? Próstata (só para homens),"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q121010,Q121010,"Diagnóstico de outro câncer? Boca, Orofaringe ou Laringe","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q121011,Q121011,Diagnóstico de outro câncer? Bexiga,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q121012,Q121012,Diagnóstico de outro câncer? Linfoma ou leucemia,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q121013,Q121013,Diagnóstico de outro câncer? Cérebro,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q121014,Q121014,Diagnóstico de outro câncer? Ovário (só para mulheres),"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q121015,Q121015,Diagnóstico de outro câncer? Tireoide,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q121016,Q121016,Diagnóstico de outro câncer?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q12201,Q12201,Que idade o(a) Sr(a) tinha no primeiro diagnóstico de doença mental?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
V00201,V00201,"Nos últimos doze meses, alguém: Te ofendeu, humilhou ou ridicularizou na frente de outras pessoas?","{1: 'Sim', 2: 'Não'}"
V00202,V00202,"Nos últimos doze meses, alguém: Gritou com você ou te xingou?","{1: 'Sim', 2: 'Não'}"
V00203,V00203,"Nos últimos doze meses, alguém: Usou redes sociais ou celular para ameaçar, ofender, xingar ou expor imagens suas sem o seu consentimento?","{1: 'Sim', 2: 'Não'}"
V00204,V00204,"Nos últimos doze meses, alguém: Te ameaçou de ferir ou machucar alguém importante para você?","{1: 'Sim', 2: 'Não'}"
V00205,V00205,"Nos últimos doze meses, alguém: Destruiu alguma coisa sua de propósito?","{1: 'Sim', 2: 'Não'}"
V003,V003,"Nos últimos doze meses, quantas vezes isso aconteceu com você?","{1: 'Muitas vezes', 2: 'Algumas vezes', 3: 'Uma vez'}"
V01401,V01401,"Nos últimos doze meses, alguém: Te deu um tapa ou uma bofetada?","{1: 'Sim', 2: 'Não'}"
V01402,V01402,"Nos últimos doze meses, alguém: Te empurrou, segurou com força ou jogou algo em você com a intenção de machucar?","{1: 'Sim', 2: 'Não'}"
V01403,V01403,"Nos últimos doze meses, alguém: Te deu um soco, chutou ou arrastou pelo cabelo?","{1: 'Sim', 2: 'Não'}"
V01404,V01404,"Nos últimos doze meses, alguém: Tentou ou efetivamente estrangulou, asfixiou ou te queimou de propósito?","{1: 'Sim', 2: 'Não'}"
V01405,V01405,"Nos últimos doze meses, alguém: Te ameaçou ou feriu com uma faca, arma de fogo ou alguma outra arma ou objeto?","{1: 'Sim', 2: 'Não'}"
V015,V015,"Nos últimos doze meses, quantas vezes isso aconteceu?","{1: 'Muitas vezes', 2: 'Algumas vezes', 3: 'Uma vez'}"
V02701,V02701,"Nos últimos doze meses, alguém: tocou, manipulou, beijou ou expôs partes do seu corpo contra sua vontade","{1: 'Sim', 2: 'Não'}"
V02702,V02702,"Nos últimos doze meses, alguém: Te ameaçou ou forçou a ter relações sexuais ou quaisquer outros atos sexuais contra sua vontade?","{1: 'Sim', 2: 'Não'}"
V02801,V02801,"E alguma vez na vida, alguém: tocou, manipulou, beijou ou expôs partes do seu corpo contra sua vontade","{1: 'Sim', 2: 'Não'}"
V02802,V02802,"E alguma vez na vida, alguém: Te ameaçou ou forçou a ter relações sexuais ou quaisquer outros atos sexuais contra sua vontade?","{1: 'Sim', 2: 'Não'}"
V029,V029,"Nos últimos doze meses, quantas vezes isso aconteceu?","{1: 'Muitas vezes', 2: 'Algumas vezes', 3: 'Uma vez'}"
V034,V034,"Nos últimos doze meses, você deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola etc.) por causa desse ato","{1: 'Sim', 2: 'Não'}"
V03501,V03501,"Esse(s) ato(s) sexual(is) forçado(s) gerou(aram) alguma consequência para sua saúde, tais como: Hematomas, cortes, fraturas, queimaduras ou outras lesões físicas ou ferimentos?",{}
V03502,V03502,"Esse(s) ato(s) sexual(is) forçado(s) gerou(aram) alguma consequência para sua saúde, tais como: Medo, tristeza, desânimo, dificuldade para dormir, ansiedade, depressão ou outras consequências psicológicas?","{1: 'Sim', 2: 'Não'}"
V03503,V03503,"Esse(s) ato(s) sexual(is) forçado(s) gerou(aram) alguma consequência para sua saúde, tais como: Doença sexualmente transmissível ou gravidez indesejada?","{1: 'Sim', 2: 'Não'}"
Y001,Y001,Que idade tinha quando teve relações sexuais pela primeira vez?,"{1: 'Idade em anos', 2: 'Nunca teve relações sexuais', 3: 'Não sabe/Não lembra', 4: 'Recusou-se a responder'}"
Y00101,Y00101,Idade do morador quando teve relações sexuais pela primeira vez,{}
Y002,Y002,Nos últimos doze meses teve relações sexuais?,"{1: 'Sim', 2: 'Não', 3: 'Recusou-se a responder'}"
Y003,Y003,"Nos últimos doze meses nas relações sexuais que teve, com que frequência usou camisinha:","{1: 'Sempre', 2: 'Às vezes', 3: 'Nenhuma  vez', 4: 'Recusou-se a responder'}"
phq9_total,N010|N011|N012|N013|N014|N015|N016|N017|N018,Valor de risco para depressão segundo questionario PHQ9,{}
depression_severity,phq9_total,Classificação risco de depressão,"{1: 'Nenhum ou mínimo', 2: 'Leve', 3: 'Moderada', 4: 'Moderadamente Grave', 5: 'Grave'}"
